,date,rainfall_min,rainfall_mean,rainfall_max,month,year
0,"{'type': 'Date', 'value': 978307200000}",7.913122892379761,7.913122892379761,7.913122892379761,1,2001
1,"{'type': 'Date', 'value': 980985600000}",5.112166881561279,5.112166881561279,5.112166881561279,2,2001
2,"{'type': 'Date', 'value': 983404800000}",4.6829352378845215,4.6829352378845215,4.6829352378845215,3,2001
3,"{'type': 'Date', 'value': 986083200000}",4.099176049232483,4.099176049232483,4.099176049232483,4,2001
4,"{'type': 'Date', 'value': 988675200000}",30.752923011779785,30.752923011779785,30.752923011779785,5,2001
5,"{'type': 'Date', 'value': 991353600000}",219.51406383514404,219.51406383514404,219.51406383514404,6,2001
6,"{'type': 'Date', 'value': 993945600000}",307.0914521217346,307.0914521217346,307.0914521217346,7,2001
7,"{'type': 'Date', 'value': 996624000000}",201.0883228778839,201.0883228778839,201.0883228778839,8,2001
8,"{'type': 'Date', 'value': 999302400000}",98.5365309715271,98.5365309715271,98.5365309715271,9,2001
9,"{'type': 'Date', 'value': 1001894400000}",41.130653381347656,41.130653381347656,41.130653381347656,10,2001
10,"{'type': 'Date', 'value': 1004572800000}",5.96256411075592,5.96256411075592,5.96256411075592,11,2001
11,"{'type': 'Date', 'value': 1007164800000}",7.332141757011414,7.332141757011414,7.332141757011414,12,2001
12,"{'type': 'Date', 'value': 1009843200000}",11.066970109939575,11.066970109939575,11.066970109939575,1,2002
13,"{'type': 'Date', 'value': 1012521600000}",12.086976528167725,12.086976528167725,12.086976528167725,2,2002
14,"{'type': 'Date', 'value': 1014940800000}",2.839662790298462,2.839662790298462,2.839662790298462,3,2002
15,"{'type': 'Date', 'value': 1017619200000}",2.6423733234405518,2.6423733234405518,2.6423733234405518,4,2002
16,"{'type': 'Date', 'value': 1020211200000}",30.59620749950409,30.59620749950409,30.59620749950409,5,2002
17,"{'type': 'Date', 'value': 1022889600000}",138.7464771270752,138.7464771270752,138.7464771270752,6,2002
18,"{'type': 'Date', 'value': 1025481600000}",319.6363582611084,319.6363582611084,319.6363582611084,7,2002
19,"{'type': 'Date', 'value': 1028160000000}",186.5912971496582,186.5912971496582,186.5912971496582,8,2002
20,"{'type': 'Date', 'value': 1030838400000}",211.88879203796387,211.88879203796387,211.88879203796387,9,2002
21,"{'type': 'Date', 'value': 1033430400000}",70.09276533126831,70.09276533126831,70.09276533126831,10,2002
22,"{'type': 'Date', 'value': 1036108800000}",43.558602690696716,43.558602690696716,43.558602690696716,11,2002
23,"{'type': 'Date', 'value': 1038700800000}",8.25562185049057,8.25562185049057,8.25562185049057,12,2002
24,"{'type': 'Date', 'value': 1041379200000}",7.118368148803711,7.118368148803711,7.118368148803711,1,2003
25,"{'type': 'Date', 'value': 1044057600000}",2.8950681686401367,2.8950681686401367,2.8950681686401367,2,2003
26,"{'type': 'Date', 'value': 1046476800000}",3.9338431358337402,3.9338431358337402,3.9338431358337402,3,2003
27,"{'type': 'Date', 'value': 1049155200000}",4.27213716506958,4.27213716506958,4.27213716506958,4,2003
28,"{'type': 'Date', 'value': 1051747200000}",11.536471366882324,11.536471366882324,11.536471366882324,5,2003
29,"{'type': 'Date', 'value': 1054425600000}",297.77660942077637,297.77660942077637,297.77660942077637,6,2003
30,"{'type': 'Date', 'value': 1057017600000}",310.3047409057617,310.3047409057617,310.3047409057617,7,2003
31,"{'type': 'Date', 'value': 1059696000000}",174.19238209724426,174.19238209724426,174.19238209724426,8,2003
32,"{'type': 'Date', 'value': 1062374400000}",254.05934762954712,254.05934762954712,254.05934762954712,9,2003
33,"{'type': 'Date', 'value': 1064966400000}",78.18740892410278,78.18740892410278,78.18740892410278,10,2003
34,"{'type': 'Date', 'value': 1067644800000}",7.869204521179199,7.869204521179199,7.869204521179199,11,2003
35,"{'type': 'Date', 'value': 1070236800000}",5.926057577133179,5.926057577133179,5.926057577133179,12,2003
36,"{'type': 'Date', 'value': 1072915200000}",35.71048331260681,35.71048331260681,35.71048331260681,1,2004
37,"{'type': 'Date', 'value': 1075593600000}",4.824510812759399,4.824510812759399,4.824510812759399,2,2004
38,"{'type': 'Date', 'value': 1078099200000}",7.483515977859497,7.483515977859497,7.483515977859497,3,2004
39,"{'type': 'Date', 'value': 1080777600000}",4.138932228088379,4.138932228088379,4.138932228088379,4,2004
40,"{'type': 'Date', 'value': 1083369600000}",61.521910071372986,61.521910071372986,61.521910071372986,5,2004
41,"{'type': 'Date', 'value': 1086048000000}",374.2683906555176,374.2683906555176,374.2683906555176,6,2004
42,"{'type': 'Date', 'value': 1088640000000}",159.41933870315552,159.41933870315552,159.41933870315552,7,2004
43,"{'type': 'Date', 'value': 1091318400000}",240.6695818901062,240.6695818901062,240.6695818901062,8,2004
44,"{'type': 'Date', 'value': 1093996800000}",348.5595850944519,348.5595850944519,348.5595850944519,9,2004
45,"{'type': 'Date', 'value': 1096588800000}",33.87088060379028,33.87088060379028,33.87088060379028,10,2004
46,"{'type': 'Date', 'value': 1099267200000}",6.3956828117370605,6.3956828117370605,6.3956828117370605,11,2004
47,"{'type': 'Date', 'value': 1101859200000}",10.110242426395416,10.110242426395416,10.110242426395416,12,2004
48,"{'type': 'Date', 'value': 1104537600000}",8.604654312133789,8.604654312133789,8.604654312133789,1,2005
49,"{'type': 'Date', 'value': 1107216000000}",18.535427689552307,18.535427689552307,18.535427689552307,2,2005
50,"{'type': 'Date', 'value': 1109635200000}",5.020122647285461,5.020122647285461,5.020122647285461,3,2005
51,"{'type': 'Date', 'value': 1112313600000}",4.035979509353638,4.035979509353638,4.035979509353638,4,2005
52,"{'type': 'Date', 'value': 1114905600000}",6.791695594787598,6.791695594787598,6.791695594787598,5,2005
53,"{'type': 'Date', 'value': 1117584000000}",91.13750076293945,91.13750076293945,91.13750076293945,6,2005
54,"{'type': 'Date', 'value': 1120176000000}",343.92760610580444,343.92760610580444,343.92760610580444,7,2005
55,"{'type': 'Date', 'value': 1122854400000}",217.44940328598022,217.44940328598022,217.44940328598022,8,2005
56,"{'type': 'Date', 'value': 1125532800000}",126.78499603271484,126.78499603271484,126.78499603271484,9,2005
57,"{'type': 'Date', 'value': 1128124800000}",49.07614469528198,49.07614469528198,49.07614469528198,10,2005
58,"{'type': 'Date', 'value': 1130803200000}",7.106742858886719,7.106742858886719,7.106742858886719,11,2005
59,"{'type': 'Date', 'value': 1133395200000}",7.580129146575928,7.580129146575928,7.580129146575928,12,2005
60,"{'type': 'Date', 'value': 1136073600000}",9.023279666900635,9.023279666900635,9.023279666900635,1,2006
61,"{'type': 'Date', 'value': 1138752000000}",0.0,0.0,0.0,2,2006
62,"{'type': 'Date', 'value': 1141171200000}",0.0,0.0,0.0,3,2006
63,"{'type': 'Date', 'value': 1143849600000}",3.141484498977661,3.141484498977661,3.141484498977661,4,2006
64,"{'type': 'Date', 'value': 1146441600000}",9.663472056388855,9.663472056388855,9.663472056388855,5,2006
65,"{'type': 'Date', 'value': 1149120000000}",226.66310691833496,226.66310691833496,226.66310691833496,6,2006
66,"{'type': 'Date', 'value': 1151712000000}",200.5755591392517,200.5755591392517,200.5755591392517,7,2006
67,"{'type': 'Date', 'value': 1154390400000}",329.5755171775818,329.5755171775818,329.5755171775818,8,2006
68,"{'type': 'Date', 'value': 1157068800000}",184.71465730667114,184.71465730667114,184.71465730667114,9,2006
69,"{'type': 'Date', 'value': 1159660800000}",112.40100288391113,112.40100288391113,112.40100288391113,10,2006
70,"{'type': 'Date', 'value': 1162339200000}",13.876112937927246,13.876112937927246,13.876112937927246,11,2006
71,"{'type': 'Date', 'value': 1164931200000}",11.898183822631836,11.898183822631836,11.898183822631836,12,2006
72,"{'type': 'Date', 'value': 1167609600000}",20.28168511390686,20.28168511390686,20.28168511390686,1,2007
