,date,LST_min,LST_mean,LST_max,month,year
0,"{'type': 'Date', 'value': 978307200000}",27.812500000000036,27.812500000000036,27.812500000000036,1,2001
1,"{'type': 'Date', 'value': 980985600000}",32.089000000000034,32.089000000000034,32.089000000000034,2,2001
2,"{'type': 'Date', 'value': 983404800000}",38.10181818181821,38.10181818181821,38.10181818181821,3,2001
3,"{'type': 'Date', 'value': 986083200000}",42.08391304347829,42.08391304347829,42.08391304347829,4,2001
4,"{'type': 'Date', 'value': 988675200000}",41.55315789473686,41.55315789473686,41.55315789473686,5,2001
5,"{'type': 'Date', 'value': 991353600000}",38.41000000000003,38.41000000000003,38.41000000000003,6,2001
6,"{'type': 'Date', 'value': 993945600000}",32.80800000000003,32.80800000000003,32.80800000000003,7,2001
7,"{'type': 'Date', 'value': 996624000000}",36.54833333333336,36.54833333333336,36.54833333333336,8,2001
8,"{'type': 'Date', 'value': 999302400000}",33.57800000000003,33.57800000000003,33.57800000000003,9,2001
9,"{'type': 'Date', 'value': 1001894400000}",33.75363636363639,33.75363636363639,33.75363636363639,10,2001
10,"{'type': 'Date', 'value': 1004572800000}",30.67538461538464,30.67538461538464,30.67538461538464,11,2001
11,"{'type': 'Date', 'value': 1007164800000}",26.867333333333367,26.867333333333367,26.867333333333367,12,2001
12,"{'type': 'Date', 'value': 1009843200000}",28.610000000000024,28.610000000000024,28.610000000000024,1,2002
13,"{'type': 'Date', 'value': 1012521600000}",30.185789473684235,30.185789473684235,30.185789473684235,2,2002
14,"{'type': 'Date', 'value': 1014940800000}",37.93875000000003,37.93875000000003,37.93875000000003,3,2002
15,"{'type': 'Date', 'value': 1017619200000}",41.57583333333337,41.57583333333337,41.57583333333337,4,2002
16,"{'type': 'Date', 'value': 1020211200000}",41.60555555555558,41.60555555555558,41.60555555555558,5,2002
17,"{'type': 'Date', 'value': 1022889600000}",36.75888888888892,36.75888888888892,36.75888888888892,6,2002
18,"{'type': 'Date', 'value': 1025481600000}",33.898888888888926,33.898888888888926,33.898888888888926,7,2002
19,"{'type': 'Date', 'value': 1028160000000}",34.4446666666667,34.4446666666667,34.4446666666667,8,2002
20,"{'type': 'Date', 'value': 1030838400000}",35.69000000000002,35.69000000000002,35.69000000000002,9,2002
